GenBankID,UniProtID,pIspG,length,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,neg_charged_aa,pos_charged_aa,hydrophobic_aa,molecular_weight,isoelectric_point,aromaticity,instability_index,organism,GO:0005506,GO:0005829,GO:0009055,GO:0016114,GO:0019288,GO:0046429,GO:0046872,GO:0051539,GO:0141197,RMSE,binding_site_opening,CL_FLDA_A,CL_FLDA_B,Sphere25_length,Sphere25_aa_A,Sphere25_aa_C,Sphere25_aa_D,Sphere25_aa_E,Sphere25_aa_F,Sphere25_aa_G,Sphere25_aa_H,Sphere25_aa_I,Sphere25_aa_K,Sphere25_aa_L,Sphere25_aa_M,Sphere25_aa_N,Sphere25_aa_P,Sphere25_aa_Q,Sphere25_aa_R,Sphere25_aa_S,Sphere25_aa_T,Sphere25_aa_V,Sphere25_aa_W,Sphere25_aa_Y,Sphere25_neg_charged_aa,Sphere25_pos_charged_aa,Sphere25_hydrophobic_aa,Sphere25_molecular_weight
ABF40425.1,Q1IRS5,-,413,9.200968523002421,1.4527845036319613,6.5375302663438255,5.569007263922518,1.694915254237288,7.990314769975787,1.4527845036319613,6.779661016949152,6.5375302663438255,7.506053268765134,3.389830508474576,4.116222760290557,4.358353510895883,3.87409200968523,5.326876513317192,4.358353510895883,6.053268765133172,10.16949152542373,0.7263922518159807,2.9055690072639226,12.106537530266344,13.317191283292978,33.65617433414044,45073.423900000016,6.623356819152832,0.053268765133171914,27.518159806295394,Candidatus Koribacter versatilis Ellin345,1,0,0,1,1,1,0,1,1,1.1611489057540894,11.04197981982589,15.589696491676946,15.921904921745618,125.0,5.6000000000000005,2.4,1.6,8.799999999999999,4.0,8.0,0.8,6.4,4.0,6.4,4.8,3.2,5.6000000000000005,5.6000000000000005,4.8,4.8,8.799999999999999,10.4,0.8,3.2,10.4,9.6,28.799999999999997,13889.946299999985
SEH14556.1,A0A1H6FUS5,-,449,15.812917594654788,0.8908685968819599,4.4543429844097995,9.35412026726058,2.0044543429844097,8.463251670378618,2.2271714922048997,5.79064587973274,3.78619153674833,8.908685968819599,1.1135857461024499,2.2271714922048997,4.8997772828507795,2.4498886414253898,9.131403118040089,4.008908685968819,4.231625835189309,8.908685968819599,0.6681514476614699,0.6681514476614699,13.808463251670378,15.14476614699332,39.42093541202672,47961.221200000145,6.265782737731934,0.03340757238307349,35.32227171492206,Thermoleophilum album,0,0,0,1,1,1,1,1,1,2.151293992996216,10.05787567600883,42.84144624331506,42.09865242351525,144.0,15.972222222222221,2.083333333333333,4.861111111111112,13.194444444444445,2.7777777777777777,7.638888888888889,1.3888888888888888,6.25,2.083333333333333,9.722222222222223,1.3888888888888888,2.083333333333333,4.166666666666666,2.083333333333333,8.333333333333332,1.3888888888888888,4.166666666666666,6.944444444444445,2.083333333333333,1.3888888888888888,18.055555555555554,11.805555555555555,38.88888888888889,15801.764399999982
CAB91132.1,Q9KYR9,-,385,11.688311688311687,1.8181818181818181,5.194805194805195,7.2727272727272725,2.0779220779220777,8.831168831168831,1.2987012987012987,7.2727272727272725,5.194805194805195,6.753246753246753,2.0779220779220777,1.8181818181818181,5.454545454545454,5.194805194805195,5.194805194805195,5.974025974025974,4.675324675324675,10.649350649350648,0.2597402597402597,1.2987012987012987,12.467532467532468,11.688311688311687,36.36363636363637,40795.34700000001,5.362383842468262,0.03636363636363636,34.46285714285713,Streptomyces coelicolor A3(2),1,0,0,1,1,1,0,1,1,1.9210025072097778,8.028763146989213,30.91967114940282,30.688102885581994,194.0,12.886940348080243,3.0928656835392587,4.123820911385678,8.247641822771357,0.5154776139232098,9.278597050617776,0.0,7.732164208848147,4.123820911385678,5.411186395642354,2.577388069616049,1.0309552278464196,5.670253753155308,5.154776139232098,4.639298525308888,6.1857313670785175,5.154776139232098,13.65882821841371,0.0,0.5154776139232098,12.371462734157035,8.763119436694566,39.689119170984455,19970.864799999996
ABG04368.1,Q1AW60,+,357,11.204481792717088,1.400560224089636,6.162464985994398,7.563025210084033,3.361344537815126,9.243697478991598,2.801120448179272,6.722689075630252,5.322128851540616,6.722689075630252,2.801120448179272,2.5210084033613445,5.042016806722689,1.9607843137254901,7.282913165266107,4.481792717086835,3.6414565826330536,9.523809523809524,0.2801120448179272,1.9607843137254901,13.725490196078432,15.406162464985995,34.173669467787114,38733.01000000004,6.234123420715332,0.05602240896358543,38.65773109243695,Rubrobacter xylanophilus DSM 9941,1,0,0,1,1,1,0,1,1,2.313382863998413,8.690553972442554,18.26057203187019,18.19634417585966,115.5,11.255622188905548,2.5974512743628186,7.792353823088456,7.792353823088456,4.329085457271365,9.523988005997001,2.5974512743628186,6.926536731634183,3.4632683658170915,6.491754122938531,2.5974512743628186,1.7316341829085458,4.329085457271365,0.8658170914542729,10.389805097451275,1.7316341829085458,4.329085457271365,8.65817091454273,0.0,2.5974512743628186,15.584707646176913,16.450524737631184,33.33208395802099,12760.982999999986
AAT83253.1,Q6A7L2,+,380,10.789473684210527,2.368421052631579,6.052631578947368,6.315789473684211,2.631578947368421,9.210526315789473,2.368421052631579,7.368421052631578,4.736842105263158,7.368421052631578,2.1052631578947367,2.368421052631579,5.263157894736842,3.9473684210526314,4.736842105263158,4.2105263157894735,6.052631578947368,10.526315789473683,0.2631578947368421,1.3157894736842104,12.368421052631579,11.842105263157894,36.05263157894737,40390.97410000002,5.35567684173584,0.04210526315789474,27.649736842105263,Cutibacterium acnes KPA171202,1,0,0,1,1,1,0,1,1,1.5715667009353638,7.497953888662,28.51525634204064,28.49420016492257,191.0,11.518324607329843,3.664921465968586,5.7591623036649215,6.806282722513089,1.0471204188481675,9.424083769633508,1.0471204188481675,7.853403141361256,4.712041884816754,7.329842931937172,2.094240837696335,2.094240837696335,4.18848167539267,4.18848167539267,5.7591623036649215,3.664921465968586,5.7591623036649215,13.089005235602095,0.0,0.0,12.56544502617801,11.518324607329843,39.79057591623037,19979.994799999982
EEA90248.1,B6GBY4,-,353,10.764872521246458,3.1161473087818696,6.515580736543909,6.232294617563739,1.69971671388102,10.198300283286118,1.69971671388102,6.515580736543909,2.5495750708215295,8.21529745042493,1.69971671388102,1.41643059490085,5.6657223796034,2.5495750708215295,6.515580736543909,5.382436260623229,5.6657223796034,12.464589235127479,0.56657223796034,0.56657223796034,12.747875354107649,10.764872521246458,37.960339943342774,36921.040700000034,4.9741735458374015,0.028328611898016998,29.51246458923512,Collinsella stercoris DSM 13279,1,0,0,1,1,1,0,1,1,1.5213079452514648,8.847341593633775,13.944026739076147,14.548507152572713,108.0,7.4074074074074066,5.555555555555555,5.555555555555555,6.481481481481481,0.9259259259259258,12.037037037037036,0.9259259259259258,6.481481481481481,3.7037037037037033,7.4074074074074066,2.7777777777777777,0.9259259259259258,5.555555555555555,2.7777777777777777,7.4074074074074066,5.555555555555555,3.7037037037037033,13.88888888888889,0.9259259259259258,0.0,12.037037037037036,12.037037037037036,35.18518518518518,11360.160799999996
ACU53587.1,C7LXX9,+,395,16.962025316455694,1.0126582278481013,4.556962025316456,8.60759493670886,1.7721518987341773,9.620253164556962,1.7721518987341773,5.5696202531645564,2.278481012658228,9.873417721518987,2.0253164556962027,1.7721518987341773,5.822784810126582,3.0379746835443036,8.354430379746836,2.7848101265822782,4.050632911392405,9.113924050632912,0.0,1.0126582278481013,13.164556962025317,12.40506329113924,41.51898734177215,41439.09660000005,5.376934623718263,0.02784810126582278,34.29772151898733,Acidimicrobium ferrooxidans DSM 10331,1,0,0,1,1,1,0,1,1,1.8638194799423218,8.954231893229785,32.39120496912093,31.932857572776122,226.5,17.880116959064328,1.7660818713450293,5.739766081871345,8.166666666666666,0.4415204678362573,8.830409356725145,0.8830409356725146,6.62280701754386,2.2076023391812862,7.505847953216374,2.6491228070175437,1.3245614035087718,4.85672514619883,3.5321637426900585,9.271929824561404,2.6491228070175437,3.973684210526316,11.257309941520468,0.0,0.4415204678362573,13.906432748538013,12.362573099415204,43.26608187134504,23644.467049999974
AEW97312.1,F8JZL2,-,385,13.506493506493506,2.0779220779220777,4.935064935064935,6.753246753246753,2.0779220779220777,8.831168831168831,1.0389610389610389,6.753246753246753,4.675324675324675,7.532467532467532,1.8181818181818181,1.8181818181818181,5.194805194805195,4.675324675324675,5.194805194805195,5.454545454545454,4.415584415584416,11.688311688311687,0.2597402597402597,1.2987012987012987,11.688311688311687,10.909090909090908,39.48051948051948,40379.08940000002,5.354881095886231,0.03636363636363636,37.175064935064924,Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488,1,0,0,1,1,1,0,1,1,2.051410675048828,8.08417455882001,31.56168750231924,31.969882772569818,186.0,15.053763440860216,3.225806451612903,5.376344086021505,6.989247311827956,0.5376344086021506,8.60215053763441,0.0,7.526881720430108,4.301075268817205,5.913978494623656,2.1505376344086025,1.0752688172043012,4.838709677419355,4.838709677419355,4.838709677419355,5.376344086021505,5.376344086021505,13.440860215053762,0.0,0.5376344086021506,12.365591397849462,9.13978494623656,41.935483870967744,19079.843199999996
AAC07467.1,O67496,+,357,7.002801120448179,1.400560224089636,4.201680672268908,9.803921568627452,1.9607843137254901,9.523809523809524,1.680672268907563,8.683473389355742,8.683473389355742,7.002801120448179,2.5210084033613445,3.081232492997199,3.6414565826330536,1.9607843137254901,5.602240896358544,5.042016806722689,4.201680672268908,11.204481792717088,0.8403361344537815,1.9607843137254901,14.005602240896359,15.966386554621847,33.89355742296919,39127.982400000015,7.617982292175294,0.047619047619047616,36.8016806722689,Aquifex aeolicus VF5,1,0,0,1,1,1,0,1,1,1.8483920097351074,9.200533211496149,14.324073835745393,15.026688825796272,111.0,6.306306306306306,3.6036036036036037,3.6036036036036037,10.81081081081081,1.8018018018018018,9.90990990990991,0.9009009009009009,8.108108108108109,9.00900900900901,9.00900900900901,2.7027027027027026,1.8018018018018018,3.6036036036036037,1.8018018018018018,5.405405405405405,3.6036036036036037,3.6036036036036037,12.612612612612612,0.9009009009009009,0.9009009009009009,14.414414414414415,15.315315315315313,36.03603603603604,12122.186899999993
ADU96577.1,E8T5Z3,-,356,9.550561797752808,1.6853932584269662,2.8089887640449436,10.112359550561797,2.8089887640449436,9.269662921348315,1.9662921348314606,6.460674157303371,7.303370786516854,8.146067415730338,1.4044943820224718,2.528089887640449,3.932584269662921,1.4044943820224718,5.617977528089887,5.8988764044943816,3.932584269662921,12.921348314606742,0.8426966292134831,1.4044943820224718,12.921348314606742,14.887640449438203,37.07865168539326,38369.05610000001,7.058800315856933,0.05056179775280899,27.065168539325835,Thermovibrio ammonificans HB-1,1,0,0,1,1,1,0,1,1,1.9232836961746216,9.038996180189281,14.347962305184346,14.396654691585685,113.0,10.619469026548673,3.5398230088495577,1.7699115044247788,11.504424778761061,2.6548672566371683,8.849557522123893,2.6548672566371683,3.5398230088495577,8.849557522123893,9.734513274336283,1.7699115044247788,2.6548672566371683,2.6548672566371683,0.8849557522123894,5.3097345132743365,3.5398230088495577,0.8849557522123894,16.8141592920354,0.8849557522123894,0.8849557522123894,13.274336283185843,16.8141592920354,40.707964601769916,12238.291799999992
