id,phylo_dist
CCQ91393.1,0.69263836646964
WP_002810560.1,0.694535519125683
EAQ77076.1,0.669218151995626
WP_012911045.1,0.7085152838427948
EOA62006.1,0.712759977515458
AAS82019.1,0.6799999999999999
WP_011529847.1,0.7100840336134453
ABF40425.1,0.6743070362473347
AAU91397.1,0.6818675352877308
ADC62931.1,0.6902465166130761
WP_005223505.1,0.6781115879828326
CAL93544.1,0.7104978354978355
WP_011870774.1,0.6881948120698782
WP_011137085.1,0.711395101171459
WP_011479842.1,0.6945917285259808
EWC76322.1,0.674331550802139
ALO15331.1,0.65882996172772
ACX75977.1,0.6522453450164294
AAP05169.1,0.6749192680301399
WP_010883016.1,0.6804451510333863
WP_012464304.1,0.674959437533802
ACU05649.1,0.6607142857142857
ADE56011.1,0.6461956521739131
BAC91563.1,0.6900871459694988
BAC08548.1,0.6695699510070767
ACC83392.1,0.6655791190864601
BAA17717.1,0.6621475054229935
ACB51662.1,0.6585233441910967
EAM48116.1,0.6641711229946524
ACZ19163.1,0.6872197309417041
WP_014624852.1,0.6453781512605041
WP_002678768.1,0.6699615595826469
BAM02738.1,0.6293103448275862
KZD16972.1,0.628476084538376
AXA34785.1,0.5426356589147288
WP_000892444.1,0.5590858416945373
APE74616.1,0.6077289571201694
ABG04368.1,0.5728422210005497
SEH14556.1,0.5686059275521405
AAD35972.1,0.5659500290528763
ADV63232.1,0.5739583333333333
WP_010049453.1,0.6052356020942409
AVM43904.1,0.597707423580786
EEA90248.1,0.5623608017817372
ACU53587.1,0.5621650589496249
WP_131153948.1,0.556503198294243
AAT83253.1,0.5842577918647649
WP_015771297.1,0.592612419700214
CAB91132.1,0.5819057815845825
AEW97312.1,0.5991425509110397
AAC07467.1,0.5500276395798784
ACE82628.1,0.29581993569131837
WP_011044983.1,0.20685959271168275
ABK39186.1,0.1813778256189451
AAC75568.1,0.0
WP_013026734.1,0.0562700964630225
EAU54713.1,0.45100162425554957
WP_011281768.1,0.4605263157894737
WP_141919126.1,0.4587546567323044
WP_011444079.1,0.4653518123667377
WP_034962069.1,0.4724986904138292
WP_068350622.1,0.4654450261780104
ABA79143.1,0.46380697050938335
WP_011455057.1,0.4541139240506329
ADU96577.1,0.5044692737430168
BAD40486.1,0.4895104895104895
CAB14437.1,0.5466237942122186
ABO67748.1,0.5353480841878036
WP_006317886.1,0.5315068493150685
ACL74833.1,0.5228426395939086
DAA93923.1,0.4940577249575552
ACZ37901.1,0.5601108033240998
AEH44631.1,0.517010596765198
ABC19357.1,0.50917176209005
ACL21716.1,0.5419889502762432
ABZ84822.1,0.5067189249720045
